frame_number,time_s,x,y,x_offset
16306,543.5,1007,435,47.0
16327,544.2,1065,781,105.0
16354,545.1,1058,488,98.0
16369,545.6,1090,374,130.0
16394,546.43,1072,566,112.0
16413,547.07,1054,524,94.0
16429,547.6,1060,719,100.0
16449,548.27,1075,648,115.0
16472,549.03,1090,690,130.0
16493,549.73,1073,544,113.0
16517,550.53,1047,499,87.0
16534,551.1,1016,744,56.0
16549,551.6,972,638,12.0
16574,552.43,968,678,8.0
16596,553.17,1004,556,44.0
16626,554.17,1135,521,175.0
16645,554.8,1162,713,202.0
16665,555.47,1148,566,188.0
16688,556.23,1059,696,99.0
16720,557.3,1046,509,86.0
16743,558.07,1022,375,62.0
16758,558.57,1050,598,90.0
16773,559.07,1080,328,120.0
16790,559.63,1080,546,120.0
16817,560.53,1093,595,133.0
16835,561.13,1057,534,97.0
16859,561.93,1040,631,80.0
16878,562.57,1016,474,56.0
16895,563.13,1017,492,57.0
16923,564.07,1043,564,83.0
16941,564.67,1046,637,86.0
16961,565.33,1101,415,141.0
16982,566.03,1062,488,102.0
16998,566.57,1048,501,88.0
17025,567.47,1015,428,55.0
17041,568.0,940,434,-20.0
17073,569.07,836,590,-124.0
17088,569.57,803,619,-157.0
17103,570.07,832,792,-128.0
17121,570.67,891,448,-69.0
17137,571.2,912,508,-48.0
17163,572.07,978,639,18.0
17178,572.57,952,442,-8.0
17193,573.07,904,559,-56.0
17212,573.7,858,466,-102.0
17229,574.27,836,418,-124.0
17248,574.9,864,504,-96.0
17264,575.43,912,711,-48.0
17281,576.0,916,578,-44.0
17298,576.57,987,480,27.0
17313,577.07,982,389,22.0
17341,578.0,967,577,7.0
17362,578.7,914,471,-46.0
17378,579.23,843,427,-117.0
17404,580.1,807,179,-153.0
17419,580.6,811,378,-149.0
17439,581.27,832,582,-128.0
17460,581.97,944,662,-16.0
17476,582.5,982,573,22.0
17492,583.03,1029,594,69.0
17523,584.07,1029,628,69.0
17553,585.07,993,623,33.0
17579,585.93,969,528,9.0
17598,586.57,985,458,25.0
17628,587.57,1032,478,72.0
17643,588.07,1038,825,78.0
17658,588.57,1079,902,119.0
17673,589.07,1185,887,225.0
17688,589.57,1192,542,232.0
17709,590.27,1119,666,159.0
17736,591.17,1083,774,123.0
17773,592.4,1024,327,64.0
17791,593.0,1008,635,48.0
17815,593.8,1116,531,156.0
17831,594.33,1117,573,157.0
17866,595.5,1146,592,186.0
17895,596.47,1048,462,88.0
17913,597.07,987,692,27.0
17928,597.57,988,528,28.0
17958,598.57,983,558,23.0
17973,599.07,1001,492,41.0
17988,599.57,1107,670,147.0
18003,600.07,1117,501,157.0
18018,600.57,1107,784,147.0
18033,601.07,1179,547,219.0
18054,601.77,1114,709,154.0
18078,602.57,1036,605,76.0
18093,603.07,1022,473,62.0
18128,604.23,1075,488,115.0
18150,604.97,1068,759,108.0
18165,605.47,1088,756,128.0
18182,606.03,1114,681,154.0
18213,607.07,1086,634,126.0
18228,607.57,1047,934,87.0
18252,608.37,1004,591,44.0
18273,609.07,897,492,-63.0
18306,610.17,919,546,-41.0
18322,610.7,922,685,-38.0
18347,611.53,995,592,35.0
18362,612.03,1028,787,68.0
18377,612.53,1046,548,86.0
18392,613.03,1036,552,76.0
18407,613.53,1026,733,66.0
18428,614.23,952,660,-8.0
18446,614.83,933,748,-27.0
18480,615.97,901,585,-59.0
18512,617.03,947,656,-13.0
18539,617.93,979,475,19.0
18557,618.53,989,614,29.0
18593,619.73,910,583,-50.0
18608,620.23,871,677,-89.0
18623,620.73,818,753,-142.0
18641,621.33,774,376,-186.0
18662,622.03,779,182,-181.0
18677,622.53,876,589,-84.0
18694,623.1,891,494,-69.0
18709,623.6,922,206,-38.0
18734,624.43,905,439,-55.0
18749,624.93,891,574,-69.0
18764,625.43,802,156,-158.0
18792,626.37,753,747,-207.0
18807,626.87,738,746,-222.0
18840,627.97,1531,712,571.0
18856,628.5,757,569,-203.0
18872,629.03,830,442,-130.0
18887,629.53,930,574,-30.0
18913,630.4,993,469,33.0
18932,631.03,922,415,-38.0
18947,631.53,893,558,-67.0
18975,632.47,840,326,-120.0
18996,633.17,921,566,-39.0
19020,633.97,1014,398,54.0
19031,634.33,1025,423,65.0
19046,634.83,1074,384,114.0
19067,635.53,1033,395,73.0
19093,636.4,933,466,-27.0
19124,637.43,909,718,-51.0
19150,638.3,918,456,-42.0
19181,639.33,1039,449,79.0
19211,640.33,1119,419,159.0
19241,641.33,1108,559,148.0
19256,641.83,1061,692,101.0
19271,642.33,1058,501,98.0
19298,643.23,996,403,36.0
19321,644.0,1024,346,64.0
19337,644.53,1028,749,68.0
19352,645.03,1036,624,76.0
19391,646.33,1090,620,130.0
19415,647.13,1050,213,90.0
19444,648.1,1005,342,45.0
19472,649.03,974,645,14.0
19496,649.83,968,813,8.0
19514,650.43,947,625,-13.0
19546,651.5,976,416,16.0
19562,652.03,1048,504,88.0
19577,652.53,1054,524,94.0
19592,653.03,1039,757,79.0
19622,654.03,994,816,34.0
19637,654.53,945,664,-15.0
19652,655.03,905,684,-55.0
19667,655.53,843,623,-117.0
19682,656.03,808,790,-152.0
19697,656.53,776,637,-184.0
19712,657.03,826,707,-134.0
19741,658.0,858,487,-102.0
19772,659.03,1001,402,41.0
19787,659.53,1015,840,55.0
19802,660.03,1014,790,54.0
19817,660.53,960,101,0.0
19832,661.03,972,812,12.0
19847,661.53,931,713,-29.0
19862,662.03,916,692,-44.0
19877,662.53,933,567,-27.0
19892,663.03,940,511,-20.0
19907,663.53,978,702,18.0
19922,664.03,997,725,37.0
19937,664.53,1015,390,55.0
19952,665.03,1026,706,66.0
19967,665.53,1010,445,50.0
19997,666.53,934,260,-26.0
20012,667.03,967,313,7.0
20027,667.53,929,660,-31.0
20042,668.03,946,229,-14.0
20065,668.8,967,411,7.0
20107,670.2,993,689,33.0
20122,670.7,973,392,13.0
20143,671.4,959,458,-1.0
20161,672.0,888,504,-72.0
20176,672.5,795,505,-165.0
20191,673.0,829,519,-131.0
20213,673.73,882,567,-78.0
20221,674.0,945,802,-15.0
20236,674.5,1005,687,45.0
20273,675.73,1057,389,97.0
20292,676.37,1007,444,47.0
20309,676.93,989,334,29.0
20328,677.57,952,340,-8.0
20356,678.5,926,532,-34.0
20386,679.5,952,453,-8.0
20401,680.0,979,830,19.0
20450,681.63,1071,523,111.0
20474,682.43,1072,673,112.0
20489,682.93,1030,875,70.0
20506,683.5,1002,685,42.0
20521,684.0,978,895,18.0
20536,684.5,931,859,-29.0
20551,685.0,862,754,-98.0
20566,685.5,888,742,-72.0
20596,686.5,979,313,19.0
20611,687.0,1002,841,42.0
20626,687.5,1037,814,77.0
20641,688.0,1053,533,93.0
20656,688.5,1128,70,168.0
20671,689.0,1073,614,113.0
20686,689.5,1021,825,61.0
20701,690.0,1004,702,44.0
20727,690.87,987,676,27.0
20731,691.0,957,663,-3.0
20746,691.5,982,437,22.0
